"","region","state","year","abundance","simpson","richness","evenness","encs"
"347","central_west","colima",1993,1.69554328543653,0.715800084925457,33,0.484924815871239,5.44960585260268
"348","central_west","colima",1994,1.62148778873003,0.687209540058642,30,0.476740279018329,5.06061384270958
"349","central_west","colima",1995,1.70160946544663,0.713929098552265,32,0.490980707465916,5.48276461451526
"350","central_west","colima",1996,1.77791807943449,0.726251869723829,37,0.49237288757211,5.91752377081385
"351","central_west","colima",1997,1.82346869912404,0.736622398844165,37,0.5049875802324,6.19330394236038
"352","central_west","colima",1998,1.93185900538564,0.759800552111147,42,0.516861895962036,6.90232979033799
"353","central_west","colima",1999,2.11887645184989,0.805207579711625,46,0.553427765210114,8.32178231005548
"354","central_west","colima",2000,2.14879722133176,0.810116126168043,46,0.561242748746913,8.57453891989554
"355","central_west","colima",2001,2.17018518426954,0.812838074208183,46,0.566829054886055,8.75990608735745
"356","central_west","colima",2002,2.18230320888252,0.80976506201086,47,0.566810271874574,8.86670463171296
"357","central_west","colima",2003,2.11213364375979,0.794810895679243,45,0.554851828717609,8.26585888132688
"358","central_west","colima",2004,2.09412713043091,0.788050379296733,42,0.560276146448893,8.11835161454583
"359","central_west","colima",2005,2.13012720049006,0.798176425931499,45,0.559578687686227,8.41593725470135
"360","central_west","colima",2006,2.12923560140749,0.795587337358518,46,0.556133463781702,8.40843695689229
"361","central_west","colima",2007,2.14850297272539,0.805522984097846,46,0.56116589417217,8.5720162449331
"362","central_west","colima",2008,2.15691381950493,0.808920058547995,45,0.566615460472585,8.64441821427301
"363","central_west","colima",2009,2.24603405723601,0.836908478678607,46,0.586639965627402,9.4501825354148
"364","central_west","colima",2010,2.25093820957758,0.836845086941998,48,0.581457331519368,9.49664149802506
"365","central_west","colima",2011,2.24547470942355,0.834414340768334,45,0.589880168115201,9.44489807454981
"366","central_west","colima",2012,2.24867351023016,0.835181695257744,45,0.590720484485567,9.47515879533493
"367","central_west","colima",2013,2.30245830437437,0.844428705611506,44,0.608441575902299,9.99873219417662
"368","central_west","colima",2014,2.3235893836075,0.847433994554196,44,0.614025619324364,10.21226433316
"369","central_west","colima",2015,2.37376974977902,0.839911793746802,48,0.613186900677707,10.7377948823061
"370","central_west","colima",2016,2.4464117578273,0.866543938855253,46,0.638976468276891,11.5468394384369
"371","central_west","guanajuato",1980,1.59275226479495,0.713638212901148,60,0.389012756642671,4.91726393377087
"372","central_west","guanajuato",1981,1.57884781353487,0.710764780083881,59,0.387206208466488,4.84936521818422
"373","central_west","guanajuato",1982,1.78439633304274,0.752815016489591,64,0.429056623443534,5.95598343174716
"374","central_west","guanajuato",1983,1.5401462780185,0.70413305099506,62,0.373175703606675,4.66527264791725
"375","central_west","guanajuato",1984,1.71198723387679,0.750194827832081,55,0.427213599354722,5.53995974161776
"376","central_west","guanajuato",1985,1.7049731544878,0.754341700417021,64,0.409959385804727,5.50123798167782
"377","central_west","guanajuato",1986,1.672567127663,0.748520033451672,57,0.41368931949231,5.32582232904825
"378","central_west","guanajuato",1987,1.70033649620768,0.753205655100104,58,0.41875639968134,5.47578966420703
"379","central_west","guanajuato",1988,1.64695103633814,0.739003522360484,56,0.409144632040178,5.1911281128293
"380","central_west","guanajuato",1989,1.69221432982698,0.753174111110404,56,0.420389188284299,5.4314945192679
"381","central_west","guanajuato",1990,1.6640076741211,0.734123226398026,53,0.419114692408688,5.28043074097638
"382","central_west","guanajuato",1991,1.67227658448176,0.73399747571954,57,0.413617457138362,5.32427517245484
"383","central_west","guanajuato",1992,1.73894698350143,0.749895027857484,60,0.424719257765073,5.69134718367329
"384","central_west","guanajuato",1993,1.66349279132048,0.701717911885881,57,0.411444891771418,5.27771263782033
"385","central_west","guanajuato",1994,1.65902222578849,0.720966704750109,60,0.405198487957277,5.25417093917581
"386","central_west","guanajuato",1995,1.69373123842087,0.734395023386513,57,0.418924007196187,5.43973985210894
"387","central_west","guanajuato",1996,1.73821885155225,0.755985856566588,60,0.424541419300793,5.68720464029709
"388","central_west","guanajuato",1997,1.80427198484318,0.76971989770152,65,0.432224388440197,6.07554674797276
"389","central_west","guanajuato",1998,1.60528090220335,0.706655706764464,66,0.383153505729428,4.97925809088005
"390","central_west","guanajuato",1999,1.84288569587919,0.765744527036343,67,0.438292608449015,6.31473439717024
"391","central_west","guanajuato",2000,1.84202059010263,0.754293052558987,65,0.441267297691017,6.30927384628341
"392","central_west","guanajuato",2001,1.66158828314856,0.712823143456411,63,0.401046162598656,5.26767075643041
"393","central_west","guanajuato",2002,1.6825043274181,0.726612558632163,67,0.400149185616761,5.37900991956826
"394","central_west","guanajuato",2003,1.7758350045053,0.757598683311151,64,0.426998059072804,5.90520995515696
"395","central_west","guanajuato",2004,1.77482884098591,0.753917280099807,65,0.425171103262366,5.89927133643748
"396","central_west","guanajuato",2005,1.9021192506047,0.786319803296808,63,0.459101471764438,6.70007855265263
"397","central_west","guanajuato",2006,1.74622700474317,0.750599211659652,60,0.426497325324142,5.73293149574273
"398","central_west","guanajuato",2007,1.70609463344204,0.734728839439318,61,0.415019942185732,5.50741096508504
"399","central_west","guanajuato",2008,1.7235588310712,0.750838594453255,57,0.426301502724781,5.60443826448694
"400","central_west","guanajuato",2009,1.83545338218939,0.776631586757987,60,0.448289916565606,6.26797528968481
"401","central_west","guanajuato",2010,1.7903252818803,0.74893875213498,64,0.430482234291142,5.99140104364463
"402","central_west","guanajuato",2011,1.84294822374037,0.770810174947199,65,0.44148951800211,6.31512925635073
"403","central_west","guanajuato",2012,1.70659793964107,0.743952795653585,59,0.418536423789742,5.51018357684215
"404","central_west","guanajuato",2013,1.54602838329958,0.692085512590538,62,0.374600931072588,4.69279513853641
"405","central_west","guanajuato",2014,1.71422504205334,0.733394846730975,60,0.418681187184447,5.55237099064316
"406","central_west","guanajuato",2015,1.74234358914763,0.739777005112826,66,0.415868059883355,5.71071131319076
"407","central_west","guanajuato",2016,1.62664731425668,0.660832943326983,68,0.385506421107196,5.08679168355792
"408","central_west","jalisco",1980,1.17217454337896,0.495557622541943,69,0.276841062478293,3.2290066246323
"409","central_west","jalisco",1981,1.17080841120375,0.479614453088229,74,0.272023862522984,3.22459838659193
"410","central_west","jalisco",1982,1.37017841770259,0.539596288491772,76,0.316384849872099,3.93605289434092
"411","central_west","jalisco",1983,1.2042764755901,0.4987156852076,64,0.289567283198845,3.33434572458982
"412","central_west","jalisco",1984,1.29883563263901,0.520672436369074,70,0.305716626391344,3.66502674470351
"413","central_west","jalisco",1985,1.30069774511662,0.530658463848614,73,0.303160480353702,3.67185779485362
