"","region","year","abundance","simpson","richness","evenness","encs"
"49","central_west",1991,1.76802429099006,0.658254584407749,95,0.388245956813438,5.85926571417924
"50","central_west",1992,1.72436284355294,0.644825365470683,93,0.380435740276124,5.60894611474585
"51","central_west",1993,1.6167768690424,0.572628765561863,91,0.358418803934513,5.03682976375555
"52","central_west",1994,1.58913255370935,0.586465890535345,91,0.352290411930039,4.89949703392011
"53","central_west",1995,1.63647844577181,0.61081280698177,95,0.359359395241939,5.13704723126782
"54","central_west",1996,1.73963456838742,0.651559525042104,100,0.3777568467894,5.69526181364365
"55","central_west",1997,1.8027506226967,0.662787017968069,97,0.394068746893049,6.06631066862342
"56","central_west",1998,1.68891939865359,0.630542663971546,105,0.362899395693482,5.41362757000682
"57","central_west",1999,1.93587501389114,0.689195853705238,110,0.411846207885348,6.93010534157767
"58","central_west",2000,1.94254426723185,0.686331820980788,106,0.41654757959302,6.97647843484667
"59","central_west",2001,1.80158758213946,0.652427748148842,107,0.385545382885166,6.05925940453085
"60","central_west",2002,1.81435208117919,0.653691853446011,108,0.387505602292478,6.1370985473394
"61","central_west",2003,1.89397109411011,0.678189642223727,107,0.405315743675898,6.64570707854044
"62","central_west",2004,1.9288753332232,0.682211316540938,108,0.411965243957488,6.88176619385703
"63","central_west",2005,2.00920202113875,0.698456621207265,102,0.434424612263176,7.45736415341859
"64","central_west",2006,1.97209295317098,0.690180260253666,106,0.422883823155511,7.18570009480919
"65","central_west",2007,1.90641723451379,0.666167730590167,111,0.404799874514565,6.72893735537149
"66","central_west",2008,1.91909290756723,0.6788411776201,110,0.408275911869213,6.81477403482994
"67","central_west",2009,2.0707969777789,0.716678911850029,112,0.438867748888647,7.93114154326399
"68","central_west",2010,1.95628128147366,0.676365195676434,114,0.413048841341692,7.07297569311009
"69","central_west",2011,2.089517525326,0.71743624657623,114,0.441180315414004,8.08101533835611
"70","central_west",2012,1.96387609468708,0.686869131334883,110,0.417803275805409,7.12689812858275
"71","central_west",2013,1.94631550134678,0.681293265532804,110,0.414067361181002,7.00283804120463
"72","central_west",2014,2.04046659365382,0.70207928857951,106,0.437545457863932,7.69419842561531
"73","central_west",2015,2.01115582777644,0.691144644207752,117,0.422318851707765,7.4719486439989
"74","central_west",2016,1.95823547889562,0.646659597057995,112,0.41501238684373,7.08681119822633
"75","north_east",1980,1.88142936508617,0.770711116886291,75,0.435769437138103,6.56287891110633
"76","north_east",1981,1.7754572897236,0.746513421917718,76,0.409966892490825,5.90297989125842
"77","north_east",1982,1.91745173955585,0.774583878039479,78,0.440114732435037,6.80359901822735
"78","north_east",1983,1.80272176894491,0.746915060459246,76,0.416262472726091,6.0661356353263
"79","north_east",1984,1.86125674166695,0.769286601133595,77,0.428485293632852,6.43181482403675
"80","north_east",1985,1.77029584830256,0.752606548678066,73,0.412612185847564,5.87259050033625
"81","north_east",1986,1.86107777594393,0.761144215133728,81,0.4235064988669,6.43066385264174
"82","north_east",1987,1.86647480025349,0.771860480624977,76,0.430983543339125,6.46546412627095
"83","north_east",1988,1.84475197456638,0.764100813674971,79,0.422193383890558,6.32653045533314
"84","north_east",1989,2.04975556312267,0.798704111382753,81,0.466441979637708,7.76600257686166
"85","north_east",1990,1.75908629128658,0.749127549403785,74,0.408703458984404,5.80712894526653
"86","north_east",1991,1.82600061998636,0.757101167304205,77,0.420368879968644,6.20900476605258
"87","north_east",1992,1.99275607022426,0.779959722780504,80,0.454756722484542,7.33572369674491
"88","north_east",1993,1.89879888637993,0.759295609957819,84,0.428543758991709,6.67786874425474
"89","north_east",1994,1.80035239397861,0.749426328830808,78,0.413236795387721,6.05177969942342
"90","north_east",1995,1.84796369751096,0.756599676460834,82,0.419351357284264,6.346882182917
"91","north_east",1996,1.8570823833769,0.766083394860606,89,0.413729745608179,6.40502208465869
"92","north_east",1997,1.96227959467012,0.782303071118157,87,0.439390946372915,7.1155291133309
"93","north_east",1998,1.91102365487828,0.771547634194056,89,0.425747041521281,6.76000517020822
"94","north_east",1999,2.03402178638422,0.790949848041713,91,0.450916678616496,7.64477024829183
"95","north_east",2000,1.99585248661745,0.782327158559955,88,0.445767778774993,7.35847335488607
"96","north_east",2001,1.98928318603076,0.78526930271795,91,0.440998701723437,7.31029176450935
"97","north_east",2002,1.88809787454053,0.767731351290412,90,0.419595052428507,6.60678977846729
"98","north_east",2003,1.92084502625965,0.775729860463448,89,0.427935093876689,6.82672479431816
"99","north_east",2004,1.99212460370174,0.785070743774246,91,0.441628607768367,7.33109289506393
"100","north_east",2005,2.10811318950606,0.803235643935203,91,0.467341797380401,8.23269308927601
"101","north_east",2006,2.02106473933268,0.789701155716485,92,0.446961352768874,7.5463555592241
"102","north_east",2007,2.04875591204595,0.793471921294894,94,0.450940564112443,7.75824316302333
"103","north_east",2008,2.06664441406948,0.799433399875313,90,0.459273739441917,7.89827525961381
"104","north_east",2009,2.14691439454158,0.810091819356174,89,0.47829991509642,8.55840973729721
"105","north_east",2010,2.10575739676747,0.805234019376323,87,0.471518298366126,8.21332139748179
"106","north_east",2011,2.24089692487951,0.81779215066616,88,0.500497732856104,9.40176017945239
"107","north_east",2012,2.05191606369129,0.795341295797023,88,0.458289413710419,7.78279916783357
"108","north_east",2013,2.04337367056994,0.793381897600891,92,0.451895004764566,7.71659859598002
"109","north_east",2014,2.059711413728,0.799159905479569,93,0.45442166616294,7.84370589782341
"110","north_east",2015,2.09375084195132,0.802539842360446,101,0.453671975479494,8.11529734703888
"111","north_east",2016,2.12719353964366,0.807439829378695,96,0.466045413367026,8.39128392902094
"112","north_west",1980,2.56742515488728,0.883845562587417,86,0.576386389325033,13.0322252416593
"113","north_west",1981,2.43589944398348,0.874896296208704,93,0.537417755012999,11.4260912219056
"114","north_west",1982,2.36003887827597,0.847456920673221,86,0.529828215294522,10.5913632183715
"115","north_west",1983,2.48357737129284,0.874041702799571,82,0.563588745263196,11.9840592552499
"116","north_west",1984,2.44849676206997,0.849681648079032,87,0.548264025370861,11.5709397635646
"117","north_west",1985,2.33266734334036,0.83972199934092,91,0.517122588271781,10.3053929268147
"118","north_west",1986,2.3980305640607,0.83612876675995,91,0.531612780357327,11.0014883045607
"119","north_west",1987,2.55457028268707,0.87390387105182,95,0.560966039156413,12.8657698254368
"120","north_west",1988,2.63749468112081,0.86931269948554,99,0.573977342733196,13.97814000527
"121","north_west",1989,2.49578495575527,0.855652613264913,97,0.54556123162381,12.1312522784927
"122","north_west",1990,2.58675267064209,0.871190997517036,96,0.566729916766106,13.2865556507266
"123","north_west",1991,2.4959301347736,0.862161789482839,100,0.541984342374106,12.1330136096406
"124","north_west",1992,2.47851108249185,0.84987837536155,107,0.530409131233942,11.9234980897685
"125","north_west",1993,2.36868670785894,0.829087359480132,102,0.512151487908291,10.6833527039475
"126","north_west",1994,2.31628225774813,0.823966869620268,109,0.493734917106068,10.1379140067868
"127","north_west",1995,2.42738502536189,0.844204754134261,107,0.519467994945595,11.3292176941572
"128","north_west",1996,2.39082924502861,0.844092927378375,110,0.508635088113076,10.9225476569938
"129","north_west",1997,2.41977688520211,0.838690254882823,108,0.516810992221666,11.2433504771436
"130","north_west",1998,2.45803503385994,0.847233908666074,109,0.523950705760063,11.6818345635124
"131","north_west",1999,2.65202686977364,0.884421018111446,107,0.567542052945544,14.1827561319524
"132","north_west",2000,2.56580884936,0.864021768192236,110,0.54586098647121,13.0111781977771
"133","north_west",2001,2.59486361384361,0.86887554720433,110,0.552042219499019,13.3947603769394
"134","north_west",2002,2.46904227277179,0.851441107157489,112,0.523268594550731,11.8111295926811
"135","north_west",2003,2.51965123810019,0.865840631679145,114,0.531998662124117,12.4242627983806
"136","north_west",2004,2.50710754236819,0.849293701691416,114,0.52935018869787,12.2693899954924
"137","north_west",2005,2.51296781218311,0.848709831592425,119,0.525821903494484,12.3415030258581
"138","north_west",2006,2.46806592097202,0.846471770996417,118,0.517339986867913,11.7996034027697
"139","north_west",2007,2.38906866580142,0.829969874329372,119,0.499896826111514,10.9033345645295
"140","north_west",2008,2.38661927851459,0.832098464645146,119,0.499384308012669,10.8766607560426
"141","north_west",2009,2.35843101421719,0.827572661225369,120,0.492623515805103,10.5743474293228
"142","north_west",2010,2.40929706500625,0.838131088664152,124,0.499824965038911,11.126137444256
"143","north_west",2011,2.41218772748809,0.83938979267504,123,0.501266690831384,11.1583458817673
"144","north_west",2012,2.58372849826659,0.872999133556423,124,0.536011945174053,13.2464355118469
"145","north_west",2013,2.50600213752637,0.854850448870966,129,0.515658204270855,12.2558348457296
"146","north_west",2014,2.483462045009,0.857257488996178,118,0.520567222631522,11.9826772579225
"147","north_west",2015,2.35990566346158,0.822440482673873,125,0.488763943657919,10.5899523858602
"148","north_west",2016,2.42196502598283,0.828932019561867,118,0.507676615964548,11.2679794468341
"149","south",1980,1.60417401925353,0.606173164390459,86,0.360136718706863,4.97374968413965
