"id","year","area","indexS","indexS2"
31,2013,133891.77,23.4103670327416,3.7694707648127
31,2011,97694.91,16.5186261760979,2.87783949235935
31,2016,136960.12,19.6586627649893,3.14750238614748
31,2015,134622,21.5166260618142,3.45983820545978
31,2010,135877.35,24.6660938656663,3.95707462136642
31,2008,151435.35,24.5661032409138,3.83565982409469
31,2003,136816.8,19.9046937431016,3.18772809479733
31,2007,154908.61,24.9535608075934,3.8741306725115
31,2006,134245.03,22.8656097362345,3.67933100424603
32,2009,167806.45,7.18605718196364,1.09357641075922
32,2016,197001.98,6.41543016231155,0.93792640221994
32,2012,163923.78,7.29122139757773,1.11609309969952
32,2014,194414.83,6.38205432285943,0.936135632731672
32,2008,168751.57,6.80168815198507,1.03363067197039
32,2004,185567.64,7.05821478485974,1.04744188452386
32,2006,167877.58,9.23293773981136,1.4049224725097
32,2007,171928.17,6.38005038374475,0.965045912527838
32,2005,156749.29,7.40278188917514,1.14591969982079
32,2003,200181.16,5.86248515948359,0.853663245592304
32,2015,195018,6.47628595821842,0.949222380701678
32,2010,166651.73,7.53218379266154,1.14823050202026
32,2013,156672.93,13.0768086582772,2.02448193191651
32,2011,151196.6,7.24219626337081,1.13121566630889
33,2011,247355.21,12.0896392477643,1.66972020912008
33,2005,279582.24,14.8382686043569,1.98754266830809
33,2007,266833.73,13.5985771997642,1.84286667514312
33,2010,277815.4,14.5758045511119,1.95548317888446
33,2003,266015.01,9.84324541694105,1.33497276297408
33,2014,286471.68,11.1316533626142,1.48200571244353
33,2013,252977.18,11.7262523555332,1.610458458695
