"","region","crop_group","FAO_crop","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15","central","Cereals","Oats",16702,11838,10653,17147,8055,12537,4806,5044,4704,6153,4753,5622,4534,6780,4276,3327,5031,3589,5241,3712.77,5250,5679,8513,7859,14253,16821,10606,13054.5,15161.5,15191,18762.5,24615,17954.5,16671,20533.5,15077,14059.6
"16","central","Cereals","Rice, paddy",22565,21238,24842,17757,19010,34580,30098,28903,33685,30525,28490,30959,26017,28052,29569,27998,35149,41649,42267,30417.25,33772.6,15277.3,13758.44,14032.91,11106.84,10057.47,12199.88,13043.72,11193.53,12450.78,8669.15,7918,5460.91,6267.2,7342.33,5310,6051.2
"17","central","Cereals","Rye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2,4,25,25,17,17,17,17,NA,20,18,22,25,30
"18","central","Cereals","Sorghum",53712,42698,15597,44544,44659,43670,51395,51258,57816,54131,56520,44061,46109,31444,41999,62478,90717,86773,87879,82571.6,80100,81591.93,71334.9,80203.2,98409.9,78611.1,86706.3,81890.05,86741.7,92218.5,85427.5,83455.51,90855.51,85709,105564.04,95532,83024
"19","central","Cereals","Triticale",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,87,80,80,710,800,494,160,265,125,325,318,315,328,573,245,405,3156.56,4801.82,13528,11876.15
"20","central","Cereals","Wheat",22271,40278,51905,45457,61317,55719,50210,68667,93033,126009,117661,132260,105210,105454,138279,139513,140273,110963,115833,81950.1,82786.85,80592.75,64840,64563.76,64158.5,63853,66833.5,62422,67199.12,63481.64,57184.5,33796,46905.8,50673.11,49514.73,43861,29283.17
"21","central","Fibres","Agave fibres nes",NA,NA,NA,215,1780,616,2018,4799,962,977,957,1007,2437,2824,3197,2759,3893,3629,3554.5,4633.5,3286,3010,1928,2226.84,2495.34,2528.52,3078.78,3719.19,3457.17,3517.54,3460.76,4512.18,4611.61,5395.38,4215.7,3985,3856.4
"22","central","Fibres","Tobacco, unmanufactured",7376,869,2198,2714,232,2695,562,540,1977,2428,402,1084,1592,450,796,818,1658.5,1410,3984,2841,2699,2750.5,2324,1196,1207,1268.5,1457,1423,1348,1023,1023,1200,1140,1138,1087,1137,1046.5
"23","central","Fruits","Apples",8968,10443,10472,11202,9940,10045,10080,9218,10139,7899,8368,9791,9607,10144,9962,9984,9847,9035,9949,10190.5,10153.5,10186,10091,10028,10031.9,9985.72,9732.72,9735.2,10033.05,10632.1,10862.97,9306.15,10410.76,10580.08,10077.01,9952,9630.16
"24","central","Fruits","Apricots",945,921,1074,941,273,253,136,141,145,74,143,128,152,150,127,150,145,145,19,46,71,70,69.7,69.7,63.7,61.7,60.7,50.2,50.2,50.2,50.2,44.2,43.35,42.85,77.65,87,87.25
"25","central","Fruits","Avocados",13226,13929,13796,16433,13811,13140,12898,12042,12014,9679,8401,10060,8667,7834,8109,7894,8358,8246,8177,8354,8398,8310,7925.1,7895.7,8081.4,8184.3,8953.61,9125.74,8991.3,9047.3,9243.49,9422.4,10947.99,13696.3,15000.69,17083,19152.6
"26","central","Fruits","Bananas",21017,21816,20107,20755,24236,25739,26674,31530,31438,25636,20545,19058,18419,18465,16463,17052,17059,16751,15554,14841.25,14379.42,15076.42,14576.12,14308,15115.25,14195.43,16383.34,16965.89,19908.28,19196.57,19324.06,19911.61,19654.41,19598.81,19298.62,20339,21071.22
"27","central","Fruits","Berries nes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,18,28,53,62,65,71.25,71.25,140.75,73.5,71,88,81,78,86,85,49.5,47,50,72,73,72,51.45
"28","central","Fruits","Blueberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,200,200,200,200,115,110,60,60,60,60,60,60,56,14,62,62,67,67,67,177,108,NA,NA
"29","central","Fruits","Cherries",5314,5250,5118,2221,730,797,217,153,117,217,243,79,133,129,80,89,111.8,112,83,83.8,82.8,81.8,76.1,57.1,57,49.2,45.9,46.2,85.2,81.2,94.2,89.2,84.7,85.2,100.7,96,99.4
